Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict?cb_nonce=132699,1,1,4137.134900083765,4137.134900083765,4137.134900083765,4137.134900083765,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=132918,1,0,1851.918200030923,1851.918200030923,1851.918200030923,1851.918200030923,39.0,0.0008323746104118736,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
GET,/predict?cb_nonce=133061,1,0,1579.565400024876,1579.565400024876,1579.565400024876,1579.565400024876,39.0,0.0008323746104118736,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/predict?cb_nonce=133187,1,1,4363.909399951808,4363.909399951808,4363.909399951808,4363.909399951808,0.0,0.0008323746104118736,0.0008323746104118736,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/predict?cb_nonce=133441,1,1,4092.951799975708,4092.951799975708,4092.951799975708,4092.951799975708,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=133683,1,0,932.8681000042707,932.8681000042707,932.8681000042707,932.8681000042707,39.0,0.0008323746104118736,0.0,930,930,930,930,930,930,930,930,930,930,930
GET,/predict?cb_nonce=133864,1,1,4408.570700092241,4408.570700092241,4408.570700092241,4408.570700092241,0.0,0.0008323746104118736,0.0008323746104118736,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/predict?cb_nonce=134045,1,1,4279.206799925305,4279.206799925305,4279.206799925305,4279.206799925305,0.0,0.0008323746104118736,0.0008323746104118736,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/predict?cb_nonce=13420,1,0,2239.0096000162885,2239.0096000162885,2239.0096000162885,2239.0096000162885,39.0,0.0008323746104118736,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/predict?cb_nonce=134295,1,0,2264.8078999482095,2264.8078999482095,2264.8078999482095,2264.8078999482095,39.0,0.0008323746104118736,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/predict?cb_nonce=134455,1,0,2583.366099977866,2583.366099977866,2583.366099977866,2583.366099977866,39.0,0.0008323746104118736,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/predict?cb_nonce=134782,1,0,48621.906799962744,48621.906799962744,48621.906799962744,48621.906799962744,39.0,0.0008323746104118736,0.0,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
GET,/predict?cb_nonce=13488,1,0,1496.0577000165358,1496.0577000165358,1496.0577000165358,1496.0577000165358,39.0,0.0008323746104118736,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/predict?cb_nonce=135206,1,0,56368.59920003917,56368.59920003917,56368.59920003917,56368.59920003917,39.0,0.0008323746104118736,0.0,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
GET,/predict?cb_nonce=136830,1,1,5374.260799959302,5374.260799959302,5374.260799959302,5374.260799959302,0.0,0.0008323746104118736,0.0008323746104118736,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
GET,/predict?cb_nonce=137033,1,0,1782.7072999207303,1782.7072999207303,1782.7072999207303,1782.7072999207303,39.0,0.0008323746104118736,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/predict?cb_nonce=137405,1,1,4245.135599980131,4245.135599980131,4245.135599980131,4245.135599980131,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=138129,1,1,4117.604999919422,4117.604999919422,4117.604999919422,4117.604999919422,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=138302,1,0,2703.838099958375,2703.838099958375,2703.838099958375,2703.838099958375,39.0,0.0008323746104118736,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/predict?cb_nonce=138812,1,0,1304.2895999969915,1304.2895999969915,1304.2895999969915,1304.2895999969915,39.0,0.0008323746104118736,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/predict?cb_nonce=138903,1,0,5790.731100016274,5790.731100016274,5790.731100016274,5790.731100016274,39.0,0.0008323746104118736,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
GET,/predict?cb_nonce=139059,1,1,4622.459499980323,4622.459499980323,4622.459499980323,4622.459499980323,0.0,0.0008323746104118736,0.0008323746104118736,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/predict?cb_nonce=139079,1,0,2458.5995000088587,2458.5995000088587,2458.5995000088587,2458.5995000088587,39.0,0.0008323746104118736,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/predict?cb_nonce=140077,1,0,1800.8082000305876,1800.8082000305876,1800.8082000305876,1800.8082000305876,39.0,0.0008323746104118736,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
